Date,^GSPC,VGK,EWJ,EEM,FXI,AGG,HYG,GLD,DBC,VNQ,BTC-USD,DX-Y.NYB
1995-01-06,109.1322,124.326,137.3162,109.846,100.4899,101.541,128.8772,125.3528,123.7214,99.9413,112.0934,118.4203
1995-01-13,108.6249,124.5517,139.4826,110.714,102.8152,101.8958,125.3065,127.8718,120.6364,102.3077,112.9423,115.8851
1995-01-20,111.8187,122.4597,142.1626,112.7587,104.8116,102.302,128.793,127.4119,121.074,104.7498,113.5081,115.8525
1995-01-27,115.2743,119.5645,144.5534,110.2017,105.112,103.5859,126.1994,124.9895,124.6425,100.4949,112.4107,119.2125
1995-02-03,119.5635,120.0377,146.3752,110.4796,103.4589,101.8711,128.1103,124.3339,124.1937,98.6596,115.1538,119.9915
1995-02-10,116.0953,120.9168,147.8596,111.2503,106.5434,101.4222,125.8047,124.3802,123.9095,94.5152,113.0035,123.2937
1995-02-17,120.2331,121.3077,150.9538,107.834,106.2195,101.3178,125.8069,123.0868,124.1624,95.0479,109.998,123.1583
1995-02-24,119.9729,118.6468,146.0397,104.592,105.043,101.5017,120.1364,119.8521,127.6107,94.6492,106.9106,128.1861
1995-03-03,121.5506,118.1724,145.2063,107.6172,106.3316,102.9978,120.2895,116.4701,123.8349,95.2894,105.2201,130.5145
1995-03-10,122.7215,122.0956,147.499,104.5394,106.0717,100.8798,121.8421,116.5571,126.477,95.9782,107.1475,129.0129
1995-03-17,124.5907,120.9036,152.4823,107.7966,107.7522,100.1419,119.5917,118.1279,127.267,95.3393,104.6608,128.4866
1995-03-24,126.1267,119.0421,154.4105,109.5188,112.3256,100.6456,120.0662,116.0069,128.396,93.5357,100.7108,127.4617
1995-03-31,126.4185,121.0888,162.4448,107.0392,111.6593,98.0441,121.452,114.7321,129.1458,97.3899,99.3067,122.9655
1995-04-07,132.3272,121.7773,160.0227,107.179,111.0582,101.6651,123.8689,115.5474,131.1126,96.631,101.5305,126.2845
1995-04-14,133.6687,124.8005,163.8144,107.5513,110.7418,100.3621,123.986,116.2454,129.1764,97.2204,104.9003,129.2079
1995-04-21,132.7941,124.287,161.5023,110.2028,111.2975,100.3779,125.4081,118.4282,130.3052,95.0032,106.2011,137.8808
1995-04-28,135.9782,122.9771,162.0362,108.3106,107.5886,101.2345,122.9027,117.8697,127.8201,96.7307,106.4714,137.8544
1995-05-05,141.1979,120.074,162.7033,108.9616,108.0763,101.2839,120.4639,116.645,129.9197,95.9,106.3093,143.381
1995-05-12,142.7303,123.6533,162.0393,111.5984,110.5561,100.9742,118.8444,116.7157,129.346,98.1172,110.5726,145.3175
1995-05-19,140.381,125.2345,162.5185,115.7273,112.8135,98.0642,117.1979,119.0328,128.8929,98.5425,116.4036,144.6704
1995-05-26,142.0085,127.7601,164.2061,114.6665,109.5244,98.4674,118.4126,117.6717,130.5111,100.0547,117.0631,150.3462
1995-06-02,138.8926,127.2846,162.552,111.2246,109.4125,99.8414,119.7578,117.4068,131.8133,100.978,114.965,150.7789
1995-06-09,134.2318,128.4083,170.0186,111.3436,110.837,100.0014,116.3404,118.1936,134.0486,100.795,110.3785,150.4698
1995-06-16,133.9328,126.2518,167.8195,112.1853,109.7865,101.2022,118.5097,119.9344,133.4036,99.9457,107.8904,156.278
1995-06-23,130.5996,127.8544,168.3816,113.6848,109.6923,103.2229,118.2376,122.0896,131.6012,102.4226,108.8278,155.6761
1995-06-30,133.1387,124.8233,164.1346,111.3413,110.1359,104.3328,117.3773,121.8173,134.5751,104.4147,107.8038,155.1134
1995-07-07,133.1603,127.8379,165.973,111.2386,113.1148,103.3489,117.0214,126.9394,136.2327,102.3916,109.1425,157.8744
1995-07-14,136.1837,128.3292,165.7652,115.7645,114.408,102.8846,117.356,125.6126,135.0012,102.4087,112.6106,160.9826
1995-07-21,138.4954,129.1686,166.2876,120.123,113.1488,101.1471,117.5857,125.3422,137.1457,101.9825,109.1091,160.6834
1995-07-28,146.6868,126.0865,167.6171,119.9662,116.906,101.409,117.8225,124.7372,135.2885,101.8683,106.3001,160.5386
1995-08-04,143.896,125.838,167.8697,120.5553,120.9757,102.5962,118.6768,124.7806,137.9483,104.5101,105.787,160.4895
1995-08-11,148.2732,126.4739,167.8041,120.7494,126.1995,103.6963,118.698,127.6855,137.8624,106.47,105.7783,155.2689
1995-08-18,144.3367,130.892,165.7377,122.6191,131.4,106.4954,118.3209,126.6413,138.7476,107.22,104.3277,160.5333
1995-08-25,153.0181,131.7552,167.9224,122.8126,130.5438,106.2957,117.9224,127.4297,139.5116,107.9951,106.7018,164.1238
1995-09-01,155.7499,137.2023,169.1961,122.1587,126.506,106.5638,119.4736,130.0807,139.9046,108.2762,105.4817,163.1658
1995-09-08,157.6716,141.1074,168.0569,127.2495,126.3106,105.3216,117.8503,132.6532,140.1118,107.5277,104.7584,161.6941
1995-09-15,156.6571,150.1449,176.101,128.9729,126.9222,104.4284,118.1671,131.5832,143.2325,106.0497,104.3803,165.7482
1995-09-22,154.1836,149.5169,178.8308,130.2966,127.1572,103.8027,121.9406,133.6018,148.0609,106.6831,103.9839,168.1981
1995-09-29,150.8385,148.0604,181.9806,129.8262,127.7795,102.8208,122.3301,135.1868,150.8147,108.4153,104.7456,164.7028
1995-10-06,156.3261,149.5525,178.3073,132.0677,127.9321,102.9672,122.6786,137.0124,154.1673,110.0136,103.0939,163.4565
1995-10-13,160.2385,148.032,183.7817,131.4827,128.1454,101.5713,125.8305,139.073,152.6336,110.4232,105.2921,164.2719
1995-10-20,163.9381,146.4638,188.2715,133.3163,131.0975,104.8461,126.0242,141.6499,154.8164,110.4773,108.3091,164.7911
1995-10-27,168.9744,151.5792,189.5989,135.4293,132.3076,104.7921,126.2216,144.3656,155.9407,111.1936,106.5477,164.6125
1995-11-03,169.7921,155.5313,189.7081,134.6811,134.3673,106.4533,129.1377,145.8315,156.7085,110.8247,108.6139,169.0006
1995-11-10,173.0339,155.5413,188.0007,131.4783,136.9363,104.5478,127.8512,148.2635,157.2733,111.5658,108.5226,173.0855
1995-11-17,171.7638,151.448,184.9293,131.5438,137.9149,103.0969,130.3518,152.2547,157.5031,112.7292,107.4444,180.2872
1995-11-24,169.0131,151.826,185.0251,133.7964,141.5221,103.1643,129.7089,148.6578,162.47,110.6115,106.9934,179.0725
1995-12-01,173.5816,151.9427,191.4113,134.0429,144.3226,102.2894,130.3781,150.0157,157.1312,108.8185,104.8261,180.8615
1995-12-08,168.7291,145.1778,199.0419,135.8881,143.3571,102.4313,136.2356,147.6667,159.628,108.8051,103.0193,181.832
